plant_id,plant,warehouse_id,warehouse,plant_region,warehouse_region,distance_km,cost_per_unit,lead_time_days,route_capacity,emission_kg_per_unit,route_risk_score,route_status
P002,Plant_Surat,W002,WH_Ahmedabad_Zone_2,West,West,226.8,8.45,1,4808,0.0461,4.97,Open
P002,Plant_Surat,W003,WH_Ahmedabad_Zone_3,West,West,227.8,8.75,1,5901,0.0346,3.58,Open
P002,Plant_Surat,W004,WH_Ahmedabad_Zone_4,West,West,187.2,8.21,1,2604,0.0341,1.27,Open
P002,Plant_Surat,W005,WH_Surat_Zone_1,West,West,25.0,7.08,1,3861,0.0037,2.83,Open
P002,Plant_Surat,W006,WH_Surat_Zone_2,West,West,19.8,5.68,1,2294,0.0035,1.24,Open
P002,Plant_Surat,W007,WH_Surat_Zone_3,West,West,16.9,6.42,1,1007,0.0029,2.69,Open
P002,Plant_Surat,W008,WH_Surat_Zone_4,West,West,11.7,7.43,1,1036,0.0016,4.9,Open
P002,Plant_Surat,W009,WH_Rajkot_Zone_1,West,West,240.5,8.76,1,4837,0.0363,4.15,Open
P002,Plant_Surat,W010,WH_Rajkot_Zone_2,West,West,247.6,10.06,1,5376,0.0365,2.37,Open
P002,Plant_Surat,W011,WH_Rajkot_Zone_3,West,West,241.8,8.23,1,2525,0.042,3.4,Open
P002,Plant_Surat,W012,WH_Rajkot_Zone_4,West,West,233.5,9.05,1,5385,0.0421,2.59,Open
P002,Plant_Surat,W013,WH_Mumbai_Zone_1,West,West,225.2,9.43,1,3938,0.0484,2.22,Open
P002,Plant_Surat,W014,WH_Mumbai_Zone_2,West,West,219.5,7.19,1,5161,0.048,1.53,Open
P002,Plant_Surat,W015,WH_Mumbai_Zone_3,West,West,215.3,9.44,1,3746,0.0504,4.3,Open
P002,Plant_Surat,W016,WH_Mumbai_Zone_4,West,West,219.6,9.11,1,5023,0.0378,2.25,Open
P002,Plant_Surat,W017,WH_Pune_Zone_1,West,West,320.3,9.28,1,5149,0.0616,2.46,Open
P002,Plant_Surat,W018,WH_Pune_Zone_2,West,West,326.2,9.22,1,1489,0.0414,3.78,Open
P002,Plant_Surat,W019,WH_Pune_Zone_3,West,West,327.0,10.87,1,1682,0.0462,3.77,Open
P002,Plant_Surat,W020,WH_Pune_Zone_4,West,West,309.0,9.74,1,4092,0.0602,3.11,Open
P002,Plant_Surat,W021,WH_Nashik_Zone_1,West,West,164.3,8.92,1,2939,0.0292,1.71,Open
P002,Plant_Surat,W022,WH_Nashik_Zone_2,West,West,177.7,7.44,1,5637,0.0269,4.04,Open
P002,Plant_Surat,W023,WH_Nashik_Zone_3,West,West,152.9,6.69,1,3185,0.0195,1.17,Open
P002,Plant_Surat,W024,WH_Nashik_Zone_4,West,West,144.9,7.99,1,5524,0.0259,1.6,Open
P002,Plant_Surat,W025,WH_Delhi_Zone_1,West,North,944.8,17.44,3,4293,0.1579,4.82,Open
P002,Plant_Surat,W026,WH_Delhi_Zone_2,West,North,924.4,16.05,2,4431,0.1392,4.36,Open
P002,Plant_Surat,W027,WH_Delhi_Zone_3,West,North,948.3,15.0,2,4826,0.165,1.91,Open
P002,Plant_Surat,W028,WH_Delhi_Zone_4,West,North,940.4,23.18,2,2948,0.1183,1.15,Open
P002,Plant_Surat,W029,WH_Gurugram_Zone_1,West,North,910.7,21.28,3,947,0.1899,2.41,Open
P002,Plant_Surat,W030,WH_Gurugram_Zone_2,West,North,923.6,17.69,3,4362,0.1565,3.2,Open
P002,Plant_Surat,W031,WH_Gurugram_Zone_3,West,North,934.6,21.44,2,2046,0.1999,1.91,Open
P002,Plant_Surat,W032,WH_Gurugram_Zone_4,West,North,931.8,21.57,3,2440,0.1838,3.12,Open
P002,Plant_Surat,W033,WH_Noida_Zone_1,West,North,927.0,15.66,2,3221,0.1653,4.68,Open
P002,Plant_Surat,W034,WH_Noida_Zone_2,West,North,925.6,18.03,3,3030,0.1216,2.5,Open
P002,Plant_Surat,W035,WH_Noida_Zone_3,West,North,946.5,18.6,2,4043,0.136,4.55,Open
P002,Plant_Surat,W036,WH_Noida_Zone_4,West,North,931.3,20.81,2,2056,0.1726,3.54,Open
P002,Plant_Surat,W037,WH_Jaipur_Zone_1,West,North,715.9,14.61,2,2559,0.1011,3.18,Open
P002,Plant_Surat,W038,WH_Jaipur_Zone_2,West,North,715.6,17.76,2,5358,0.0938,4.86,Open
P002,Plant_Surat,W039,WH_Jaipur_Zone_3,West,North,705.9,15.17,2,2176,0.1278,2.19,Open
P002,Plant_Surat,W040,WH_Jaipur_Zone_4,West,North,725.1,17.27,2,1161,0.1356,4.25,Open
P002,Plant_Surat,W041,WH_Chandigarh_Zone_1,West,North,1159.8,23.97,2,4362,0.1825,3.97,Open
P002,Plant_Surat,W042,WH_Chandigarh_Zone_2,West,North,1118.0,25.05,3,3779,0.1349,4.04,Open
P002,Plant_Surat,W043,WH_Chandigarh_Zone_3,West,North,1154.3,16.35,3,3434,0.2433,4.37,Open
P002,Plant_Surat,W044,WH_Chandigarh_Zone_4,West,North,1119.3,20.19,3,2729,0.2534,3.37,Open
P002,Plant_Surat,W045,WH_Lucknow_Zone_1,West,North,1035.1,19.73,2,5083,0.2229,1.37,Open
P002,Plant_Surat,W046,WH_Lucknow_Zone_2,West,North,1035.0,21.43,2,5974,0.2115,1.21,Open
P002,Plant_Surat,W047,WH_Lucknow_Zone_3,West,North,1015.9,20.12,3,4190,0.1313,1.23,Open
P002,Plant_Surat,W048,WH_Lucknow_Zone_4,West,North,1028.1,19.14,3,1231,0.1695,1.49,Open
P002,Plant_Surat,W049,WH_Kanpur_Zone_1,West,North,962.8,20.96,2,2126,0.2309,4.73,Open
P002,Plant_Surat,W050,WH_Kanpur_Zone_2,West,North,941.0,20.48,3,2533,0.2248,3.99,Open
P002,Plant_Surat,W051,WH_Kanpur_Zone_3,West,North,963.7,20.59,2,5868,0.1966,3.34,Open
P002,Plant_Surat,W052,WH_Kanpur_Zone_4,West,North,951.6,20.9,3,1346,0.1632,4.49,Open
P002,Plant_Surat,W053,WH_Ludhiana_Zone_1,West,North,1102.6,25.35,3,2425,0.143,3.91,Open
P002,Plant_Surat,W054,WH_Ludhiana_Zone_2,West,North,1108.2,21.81,3,5083,0.186,4.69,Open
P002,Plant_Surat,W055,WH_Ludhiana_Zone_3,West,North,1105.7,20.42,4,5798,0.1655,4.63,Open
P002,Plant_Surat,W056,WH_Ludhiana_Zone_4,West,North,1127.8,19.66,2,1640,0.2013,1.13,Open
P002,Plant_Surat,W057,WH_Bengaluru_Zone_1,West,South,1036.5,15.29,3,3941,0.2363,1.09,Open
P002,Plant_Surat,W058,WH_Bengaluru_Zone_2,West,South,1053.9,22.22,3,3339,0.2261,3.5,Open
P002,Plant_Surat,W059,WH_Bengaluru_Zone_3,West,South,1017.1,19.06,3,3152,0.1787,4.89,Open
P002,Plant_Surat,W060,WH_Bengaluru_Zone_4,West,South,1047.8,20.49,3,1397,0.1963,3.09,Open
P002,Plant_Surat,W061,WH_Chennai_Zone_1,West,South,1179.5,18.74,3,5424,0.2283,1.9,Open
P002,Plant_Surat,W062,WH_Chennai_Zone_2,West,South,1193.8,25.3,3,897,0.2667,2.84,Open
P002,Plant_Surat,W063,WH_Chennai_Zone_3,West,South,1206.3,26.07,3,1410,0.1523,4.15,Open
P002,Plant_Surat,W064,WH_Chennai_Zone_4,West,South,1218.1,18.7,3,3591,0.2745,4.52,Open
P002,Plant_Surat,W065,WH_Hyderabad_Zone_1,West,South,713.5,18.01,2,5342,0.1329,1.38,Open
P002,Plant_Surat,W066,WH_Hyderabad_Zone_2,West,South,726.8,14.64,2,2614,0.1589,2.52,Open
P002,Plant_Surat,W067,WH_Hyderabad_Zone_3,West,South,736.8,17.16,2,1275,0.1554,2.11,Open
P002,Plant_Surat,W068,WH_Hyderabad_Zone_4,West,South,717.3,13.83,2,5363,0.1341,1.66,Open
P002,Plant_Surat,W069,WH_Cochin_Zone_1,West,South,1283.2,26.03,3,3067,0.1851,1.74,Open
P002,Plant_Surat,W070,WH_Cochin_Zone_2,West,South,1280.6,27.36,3,2581,0.2853,1.47,Open
P002,Plant_Surat,W071,WH_Cochin_Zone_3,West,South,1287.7,27.79,4,1469,0.2526,1.66,Open
P002,Plant_Surat,W072,WH_Cochin_Zone_4,West,South,1308.2,27.73,3,3200,0.1616,4.29,Open
P002,Plant_Surat,W073,WH_Coimbatore_Zone_1,West,South,1193.5,20.54,3,4357,0.2207,3.84,Open
P002,Plant_Surat,W074,WH_Coimbatore_Zone_2,West,South,1224.9,21.67,3,5877,0.2687,2.34,Open
P002,Plant_Surat,W075,WH_Coimbatore_Zone_3,West,South,1230.3,20.19,3,2515,0.2813,3.96,Open
P002,Plant_Surat,W076,WH_Coimbatore_Zone_4,West,South,1193.4,18.99,3,2474,0.264,2.02,Open
P002,Plant_Surat,W077,WH_Mysuru_Zone_1,West,South,1088.8,15.42,4,1870,0.1535,4.42,Open
P002,Plant_Surat,W078,WH_Mysuru_Zone_2,West,South,1085.6,17.74,2,5428,0.1346,2.22,Open
P002,Plant_Surat,W079,WH_Mysuru_Zone_3,West,South,1065.3,23.07,2,5740,0.2427,3.6,Open
P002,Plant_Surat,W080,WH_Mysuru_Zone_4,West,South,1077.5,23.65,3,941,0.2411,3.19,Open
P002,Plant_Surat,W081,WH_Kolkata_Zone_1,West,East,1599.8,25.46,5,5165,0.3682,2.12,Open
P002,Plant_Surat,W082,WH_Kolkata_Zone_2,West,East,1609.4,34.51,3,5875,0.3827,3.49,Open
P002,Plant_Surat,W083,WH_Kolkata_Zone_3,West,East,1606.7,29.19,4,1943,0.3285,3.16,Open
P002,Plant_Surat,W084,WH_Kolkata_Zone_4,West,East,1593.2,21.06,4,5716,0.248,2.2,Open
P002,Plant_Surat,W085,WH_Bhubaneswar_Zone_1,West,East,1342.6,28.5,3,4808,0.3205,3.5,Open
P002,Plant_Surat,W086,WH_Bhubaneswar_Zone_2,West,East,1341.1,24.38,4,5389,0.2987,3.09,Open
P002,Plant_Surat,W087,WH_Bhubaneswar_Zone_3,West,East,1346.7,19.57,4,4316,0.1669,4.47,Open
P002,Plant_Surat,W088,WH_Bhubaneswar_Zone_4,West,East,1358.8,18.27,4,4459,0.2388,1.55,Open
P002,Plant_Surat,W089,WH_Ranchi_Zone_1,West,East,1296.2,21.23,3,5400,0.2648,1.95,Open
P002,Plant_Surat,W090,WH_Ranchi_Zone_2,West,East,1324.6,24.16,3,993,0.2021,2.89,Open
P002,Plant_Surat,W091,WH_Ranchi_Zone_3,West,East,1310.8,29.59,4,5675,0.2523,4.63,Open
P002,Plant_Surat,W092,WH_Ranchi_Zone_4,West,East,1294.6,20.72,3,941,0.2502,2.12,Open
P002,Plant_Surat,W093,WH_Guwahati_Zone_1,West,East,2013.4,27.4,5,5450,0.4455,2.14,Open
P002,Plant_Surat,W094,WH_Guwahati_Zone_2,West,East,1989.7,32.25,6,2600,0.4337,2.14,Open
P002,Plant_Surat,W095,WH_Guwahati_Zone_3,West,East,2003.5,40.5,6,2317,0.4791,1.53,Open
P002,Plant_Surat,W096,WH_Guwahati_Zone_4,West,East,1986.8,29.35,4,1932,0.3834,2.24,Open
P002,Plant_Surat,W097,WH_Patna_Zone_1,West,East,1342.1,29.26,3,4541,0.2025,1.24,Open
P002,Plant_Surat,W098,WH_Patna_Zone_2,West,East,1355.5,25.04,3,1393,0.1777,3.39,Open
P002,Plant_Surat,W099,WH_Patna_Zone_3,West,East,1325.1,24.66,3,5854,0.2617,3.59,Open
P002,Plant_Surat,W100,WH_Patna_Zone_4,West,East,1357.5,29.51,4,1570,0.2808,1.48,Open
P002,Plant_Surat,W101,WH_Indore_Zone_1,West,Central,342.1,11.87,1,4893,0.0629,2.8,Open
P002,Plant_Surat,W102,WH_Indore_Zone_2,West,Central,373.9,10.62,1,2231,0.0741,4.38,Open
P002,Plant_Surat,W103,WH_Indore_Zone_3,West,Central,360.9,11.87,1,4505,0.0689,1.91,Open
P002,Plant_Surat,W104,WH_Indore_Zone_4,West,Central,380.1,10.88,2,2841,0.0625,1.11,Open
P002,Plant_Surat,W105,WH_Bhopal_Zone_1,West,Central,526.7,12.66,1,2391,0.1114,4.79,Open
P002,Plant_Surat,W106,WH_Bhopal_Zone_2,West,Central,545.7,12.31,2,4346,0.0923,2.24,Open
P002,Plant_Surat,W107,WH_Bhopal_Zone_3,West,Central,539.5,13.84,1,5728,0.0716,1.67,Open
P002,Plant_Surat,W108,WH_Bhopal_Zone_4,West,Central,526.5,16.56,2,1978,0.0764,4.7,Open
P002,Plant_Surat,W109,WH_Nagpur_Zone_1,West,Central,648.3,13.87,2,4809,0.1478,1.46,Open
